Mutant,RunNum,Solved,RepairedAccuracy,MaxAccuracy,RepairAttemtpsNum,TimeSpent
reuters_change_loss_function_mutated0_MP_hinge,0,No,-,0.808888912,8,118.8735089
reuters_change_loss_function_mutated0_MP_hinge,1,No,-,0.808888912,8,123.5571487
reuters_change_loss_function_mutated0_MP_hinge,2,No,-,0.808888912,8,130.2068529
reuters_change_loss_function_mutated0_MP_hinge,3,No,-,0.808888912,8,131.1392441
reuters_change_loss_function_mutated0_MP_hinge,4,No,-,0.808888912,8,132.4055109
reuters_change_loss_function_mutated0_MP_hinge,5,No,-,0.808888912,8,128.9968741
reuters_change_loss_function_mutated0_MP_hinge,6,No,-,0.808888912,8,118.9109259
reuters_change_loss_function_mutated0_MP_hinge,7,No,-,0.808888912,8,117.01053
reuters_change_loss_function_mutated0_MP_hinge,8,No,-,0.808888912,8,115.8614697
reuters_change_loss_function_mutated0_MP_hinge,9,No,-,0.808888912,8,117.3131859
reuters_change_loss_function_mutated0_MP_hinge,10,No,-,0.808888912,8,114.6387978
reuters_change_loss_function_mutated0_MP_hinge,11,No,-,0.808888912,8,115.0928922
reuters_change_loss_function_mutated0_MP_hinge,12,No,-,0.808888912,8,114.7434039
reuters_change_loss_function_mutated0_MP_hinge,13,No,-,0.808888912,8,114.6939299
reuters_change_loss_function_mutated0_MP_hinge,14,No,-,0.808888912,8,115.434515
reuters_change_loss_function_mutated0_MP_hinge,15,No,-,0.808888912,8,115.721297
reuters_change_loss_function_mutated0_MP_hinge,16,No,-,0.808888912,8,114.29934
reuters_change_loss_function_mutated0_MP_hinge,17,No,-,0.808888912,8,115.522192
reuters_change_loss_function_mutated0_MP_hinge,18,No,-,0.808888912,8,114.4090827
reuters_change_loss_function_mutated0_MP_hinge,19,No,-,0.808888912,8,115.7167778
reuters_change_loss_function_mutated0_MP_hinge,20,No,-,0.808888912,8,134.8545668
reuters_change_loss_function_mutated0_MP_hinge,21,No,-,0.808888912,8,116.0816848
reuters_change_loss_function_mutated0_MP_hinge,22,No,-,0.808888912,8,115.0112228
reuters_change_loss_function_mutated0_MP_hinge,23,No,-,0.808888912,8,115.2530179
reuters_change_loss_function_mutated0_MP_hinge,24,No,-,0.808888912,8,135.4879701
reuters_change_loss_function_mutated0_MP_hinge,25,No,-,0.808888912,8,134.500237
reuters_change_loss_function_mutated0_MP_hinge,26,No,-,0.808888912,8,115.4518521
reuters_change_loss_function_mutated0_MP_hinge,27,No,-,0.808888912,8,115.7698634
reuters_change_loss_function_mutated0_MP_hinge,28,No,-,0.808888912,8,115.4129469
reuters_change_loss_function_mutated0_MP_hinge,29,No,-,0.808888912,8,118.0259788
reuters_change_loss_function_mutated0_MP_hinge,30,No,-,0.808888912,8,116.4852538
reuters_change_loss_function_mutated0_MP_hinge,31,No,-,0.808888912,8,116.929765
reuters_change_loss_function_mutated0_MP_hinge,32,No,-,0.808888912,8,116.5752859
reuters_change_loss_function_mutated0_MP_hinge,33,No,-,0.808888912,8,117.2916002
reuters_change_loss_function_mutated0_MP_hinge,34,No,-,0.808888912,8,119.0499251
reuters_change_loss_function_mutated0_MP_hinge,35,No,-,0.808888912,8,115.960485
reuters_change_loss_function_mutated0_MP_hinge,36,No,-,0.808888912,8,117.3787467
reuters_change_loss_function_mutated0_MP_hinge,37,No,-,0.808888912,8,115.8963478
reuters_change_loss_function_mutated0_MP_hinge,38,No,-,0.808888912,8,117.0062821
reuters_change_loss_function_mutated0_MP_hinge,39,No,-,0.808888912,8,116.908536
