trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.dropout1,config.dropout2,config.epochs,config.unit1,config.layer1
1ee8b_00010,0.09712500125169754,0.1014999970793724,94.55749177932739,True,,,1.0,011b803538394e5b9c5c893767cf09e9,2022-08-31_18-53-27,1661972007.0,94.55749177932739,7747.0,b430368dd22d,172.17.0.2,94.55749177932739,0.0,1.0,0.004645824432373047,"10_act1=linear,act2=hard_sigmoid,act3=exponential,act4=selu,batch_size=32,bi1=random_normal,bi2=constant,bi3=lecun_uniform,bi4=constant,dropout1=0.2500,dropout2=0.5000,epochs=16,ki1=constant,ki2=he_uniform,ki3=glorot_uniform,ki4=random_normal,layer1=1,loss=hinge,lr=4.4294,optimizer=adam,unit1=256",hinge,32.0,adam,4.429398805667621,linear,hard_sigmoid,exponential,selu,constant,he_uniform,glorot_uniform,random_normal,random_normal,constant,lecun_uniform,constant,0.25,0.5,16.0,256.0,1.0
1ee8b_00011,0.09712500125169754,0.1014999970793724,26.750667572021484,True,,,1.0,09ef7856f6e245adb46fba162c36e4df,2022-08-31_18-53-59,1661972039.0,26.750667572021484,8425.0,b430368dd22d,172.17.0.2,26.750667572021484,0.0,1.0,0.004813671112060547,"11_act1=exponential,act2=softsign,act3=elu,act4=exponential,batch_size=128,bi1=ones,bi2=constant,bi3=glorot_uniform,bi4=zeros,dropout1=0.2500,dropout2=0.5000,epochs=10,ki1=lecun_normal,ki2=random_uniform,ki3=constant,ki4=random_normal,layer1=2,loss=logcosh,lr=8.4380,optimizer=adamax,unit1=256",logcosh,128.0,adamax,8.437995461487217,exponential,softsign,elu,exponential,lecun_normal,random_uniform,constant,random_normal,ones,constant,glorot_uniform,zeros,0.25,0.5,10.0,256.0,2.0
1ee8b_00012,0.11487500369548798,0.1080000028014183,25.182542324066162,True,,,1.0,aadd7457f7ef42a2b44e083668a38dea,2022-08-31_18-54-30,1661972070.0,25.182542324066162,8840.0,b430368dd22d,172.17.0.2,25.182542324066162,0.0,1.0,0.009796857833862305,"12_act1=linear,act2=softplus,act3=relu,act4=sigmoid,batch_size=512,bi1=zeros,bi2=he_normal,bi3=random_normal,bi4=constant,dropout1=0.2500,dropout2=0.5000,epochs=14,ki1=zeros,ki2=zeros,ki3=ones,ki4=random_normal,layer1=2,loss=mean_squared_error,lr=6.4272,optimizer=adadelta,unit1=256",mean_squared_error,512.0,adadelta,6.4271544494800255,linear,softplus,relu,sigmoid,zeros,zeros,ones,random_normal,zeros,he_normal,random_normal,constant,0.25,0.5,14.0,256.0,2.0
1ee8b_00013,0.09712500125169754,0.1014999970793724,91.79627275466919,True,,,1.0,ccecf02f744648359409597eb9f6cf70,2022-08-31_18-56-07,1661972167.0,91.79627275466919,9047.0,b430368dd22d,172.17.0.2,91.79627275466919,0.0,1.0,0.0049285888671875,"13_act1=linear,act2=elu,act3=exponential,act4=selu,batch_size=32,bi1=zeros,bi2=truncated_normal,bi3=random_uniform,bi4=constant,dropout1=0.2500,dropout2=0.5000,epochs=16,ki1=random_uniform,ki2=orthogonal,ki3=orthogonal,ki4=random_normal,layer1=0,loss=mean_squared_error,lr=6.6100,optimizer=rmsprop,unit1=256",mean_squared_error,32.0,rmsprop,6.61001413813313,linear,elu,exponential,selu,random_uniform,orthogonal,orthogonal,random_normal,zeros,truncated_normal,random_uniform,constant,0.25,0.5,16.0,256.0,0.0
1ee8b_00014,0.11487500369548798,0.1080000028014183,15.917115449905396,True,,,1.0,3574f4cf57324feea78c3f2fe507ba0e,2022-08-31_18-56-29,1661972189.0,15.917115449905396,9866.0,b430368dd22d,172.17.0.2,15.917115449905396,0.0,1.0,0.008571863174438477,"14_act1=selu,act2=sigmoid,act3=linear,act4=softmax,batch_size=256,bi1=zeros,bi2=lecun_uniform,bi3=random_uniform,bi4=glorot_uniform,dropout1=0.2500,dropout2=0.5000,epochs=7,ki1=zeros,ki2=zeros,ki3=lecun_uniform,ki4=glorot_uniform,layer1=0,loss=kullback_leibler_divergence,lr=2.4668,optimizer=adadelta,unit1=256",kullback_leibler_divergence,256.0,adadelta,2.4667598868534872,selu,sigmoid,linear,softmax,zeros,zeros,lecun_uniform,glorot_uniform,zeros,lecun_uniform,random_uniform,glorot_uniform,0.25,0.5,7.0,256.0,0.0
1ee8b_00015,0.09712500125169754,0.1014999970793724,31.27259349822998,True,,,1.0,ee1e13c7950c4301956cd520931bc9f7,2022-08-31_18-57-05,1661972225.0,31.27259349822998,10427.0,b430368dd22d,172.17.0.2,31.27259349822998,0.0,1.0,0.004892826080322266,"15_act1=softsign,act2=elu,act3=softmax,act4=tanh,batch_size=512,bi1=zeros,bi2=he_normal,bi3=random_uniform,bi4=ones,dropout1=0.2500,dropout2=0.5000,epochs=18,ki1=truncated_normal,ki2=lecun_uniform,ki3=random_normal,ki4=orthogonal,layer1=0,loss=categorical_crossentropy,lr=8.0133,optimizer=adagrad,unit1=64",categorical_crossentropy,512.0,adagrad,8.013330499013584,softsign,elu,softmax,tanh,truncated_normal,lecun_uniform,random_normal,orthogonal,zeros,he_normal,random_uniform,ones,0.25,0.5,18.0,64.0,0.0
1ee8b_00016,0.09712500125169754,0.1014999970793724,16.79561996459961,True,,,1.0,65c12d0b10834c679f469b451265ae2a,2022-08-31_18-57-28,1661972248.0,16.79561996459961,10837.0,b430368dd22d,172.17.0.2,16.79561996459961,0.0,1.0,0.005070686340332031,"16_act1=exponential,act2=exponential,act3=elu,act4=selu,batch_size=512,bi1=he_uniform,bi2=constant,bi3=zeros,bi4=he_uniform,dropout1=0.2500,dropout2=0.5000,epochs=8,ki1=random_uniform,ki2=glorot_normal,ki3=zeros,ki4=he_uniform,layer1=1,loss=binary_crossentropy,lr=4.6414,optimizer=adagrad,unit1=256",binary_crossentropy,512.0,adagrad,4.641368408848291,exponential,exponential,elu,selu,random_uniform,glorot_normal,zeros,he_uniform,he_uniform,constant,zeros,he_uniform,0.25,0.5,8.0,256.0,1.0
1ee8b_00017,0.09712500125169754,0.1014999970793724,19.480705976486206,True,,,1.0,d477caebb4374b07a431f0138652593d,2022-08-31_18-57-52,1661972272.0,19.480705976486206,11283.0,b430368dd22d,172.17.0.2,19.480705976486206,0.0,1.0,0.005454301834106445,"17_act1=hard_sigmoid,act2=selu,act3=exponential,act4=tanh,batch_size=256,bi1=he_uniform,bi2=he_normal,bi3=he_normal,bi4=glorot_normal,dropout1=0.2500,dropout2=0.5000,epochs=8,ki1=random_normal,ki2=ones,ki3=he_normal,ki4=he_normal,layer1=0,loss=categorical_hinge,lr=5.3592,optimizer=adamax,unit1=256",categorical_hinge,256.0,adamax,5.359214013849033,hard_sigmoid,selu,exponential,tanh,random_normal,ones,he_normal,he_normal,he_uniform,he_normal,he_normal,glorot_normal,0.25,0.5,8.0,256.0,0.0
1ee8b_00018,0.10237500071525574,0.10649999976158142,77.49161386489868,True,,,1.0,55d3ab105e644046a1e7234119cd9e97,2022-08-31_18-59-15,1661972355.0,77.49161386489868,11488.0,b430368dd22d,172.17.0.2,77.49161386489868,0.0,1.0,0.004973411560058594,"18_act1=softmax,act2=softplus,act3=tanh,act4=linear,batch_size=32,bi1=zeros,bi2=zeros,bi3=he_uniform,bi4=zeros,dropout1=0.2500,dropout2=0.5000,epochs=14,ki1=glorot_normal,ki2=random_uniform,ki3=random_uniform,ki4=truncated_normal,layer1=0,loss=mean_absolute_error,lr=1.9969,optimizer=sgd,unit1=64",mean_absolute_error,32.0,sgd,1.9968668371655593,softmax,softplus,tanh,linear,glorot_normal,random_uniform,random_uniform,truncated_normal,zeros,zeros,he_uniform,zeros,0.25,0.5,14.0,64.0,0.0
1ee8b_00019,,,,,,,,bf815f5695c54aafbcd69b7fbbe25e60,2022-08-31_18-59-21,1661972361.0,,11951.0,b430368dd22d,172.17.0.2,,,,,,sparse_categorical_crossentropy,256.0,adam,5.8412979660596855,softmax,elu,relu,elu,he_normal,truncated_normal,orthogonal,lecun_normal,glorot_normal,he_normal,glorot_uniform,random_uniform,0.25,0.5,9.0,256.0,2.0
