trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.bi1,config.bi2,config.act1,config.act2,config.epochs,config.unit1,config.layer1
45a9f_00024,0.5062500238418579,0.5049999952316284,4.172323226928711,True,,,1.0,7ec4054dfcbf4985987c7d0c42dcc65c,2022-09-03_16-24-44,1662222284.0,4.172323226928711,18451.0,b430368dd22d,172.17.0.2,4.172323226928711,0.0,1.0,0.004552125930786133,"24_act1=relu,act2=selu,batch_size=256,bi1=lecun_normal,bi2=glorot_uniform,epochs=8,ki1=constant,ki2=constant,layer1=0,loss=categorical_crossentropy,lr=3.8782,optimizer=adam,unit1=1",categorical_crossentropy,256.0,adam,3.878246644272948,constant,constant,lecun_normal,glorot_uniform,relu,selu,8.0,1.0,0.0
45a9f_00025,0.4937500059604645,0.4950000047683716,5.709036111831665,True,,,1.0,b1563ee2097345daa57ef534af035cd0,2022-09-03_16-24-54,1662222294.0,5.709036111831665,18752.0,b430368dd22d,172.17.0.2,5.709036111831665,0.0,1.0,0.004521846771240234,"25_act1=tanh,act2=softplus,batch_size=256,bi1=constant,bi2=lecun_uniform,epochs=23,ki1=lecun_uniform,ki2=zeros,layer1=2,loss=mean_absolute_error,lr=8.4596,optimizer=rmsprop,unit1=0",mean_absolute_error,256.0,rmsprop,8.459569567489243,lecun_uniform,zeros,constant,lecun_uniform,tanh,softplus,23.0,0.0,2.0
45a9f_00026,0.5062500238418579,0.5049999952316284,6.697242259979248,True,,,1.0,6b591ba344194f01b9a81244237e758d,2022-09-03_16-25-06,1662222306.0,6.697242259979248,19086.0,b430368dd22d,172.17.0.2,6.697242259979248,0.0,1.0,0.004724025726318359,"26_act1=softmax,act2=softplus,batch_size=64,bi1=zeros,bi2=lecun_uniform,epochs=12,ki1=random_uniform,ki2=ones,layer1=2,loss=kullback_leibler_divergence,lr=3.1218,optimizer=adam,unit1=1",kullback_leibler_divergence,64.0,adam,3.1217547724260855,random_uniform,ones,zeros,lecun_uniform,softmax,softplus,12.0,1.0,2.0
45a9f_00027,0.9987499713897705,1.0,12.380262613296509,True,,,1.0,3d131326196840b1b47f5a5a8446c385,2022-09-03_16-25-22,1662222322.0,12.380262613296509,19420.0,b430368dd22d,172.17.0.2,12.380262613296509,0.0,1.0,0.004808187484741211,"27_act1=selu,act2=linear,batch_size=16,bi1=random_normal,bi2=lecun_normal,epochs=10,ki1=ones,ki2=random_uniform,layer1=0,loss=hinge,lr=1.6269,optimizer=adam,unit1=0",hinge,16.0,adam,1.626890159558167,ones,random_uniform,random_normal,lecun_normal,selu,linear,10.0,0.0,0.0
45a9f_00028,0.5062500238418579,0.5049999952316284,14.333431005477905,True,,,1.0,ed4f4f25633e4c6bb5e93f83e0068bc9,2022-09-03_16-25-41,1662222341.0,14.333431005477905,19846.0,b430368dd22d,172.17.0.2,14.333431005477905,0.0,1.0,0.005066394805908203,"28_act1=softplus,act2=hard_sigmoid,batch_size=32,bi1=lecun_normal,bi2=truncated_normal,epochs=18,ki1=orthogonal,ki2=he_normal,layer1=2,loss=logcosh,lr=0.5649,optimizer=rmsprop,unit1=2",logcosh,32.0,rmsprop,0.5648745976108316,orthogonal,he_normal,lecun_normal,truncated_normal,softplus,hard_sigmoid,18.0,2.0,2.0
45a9f_00029,0.9987499713897705,1.0,4.744969844818115,True,,,1.0,74f604db27ef41c18698e1f671162ec2,2022-09-03_16-25-50,1662222350.0,4.744969844818115,20283.0,b430368dd22d,172.17.0.2,4.744969844818115,0.0,1.0,0.005387783050537109,"29_act1=softsign,act2=exponential,batch_size=200,bi1=lecun_normal,bi2=he_uniform,epochs=18,ki1=lecun_normal,ki2=truncated_normal,layer1=1,loss=mean_squared_error,lr=1.5790,optimizer=adamax,unit1=1",mean_squared_error,200.0,adamax,1.5789994528357536,lecun_normal,truncated_normal,lecun_normal,he_uniform,softsign,exponential,18.0,1.0,1.0
45a9f_00030,0.5062500238418579,0.5049999952316284,9.034870624542236,True,,,1.0,ee57f23d645c4d4a99ea755acd944041,2022-09-03_16-26-04,1662222364.0,9.034870624542236,20558.0,b430368dd22d,172.17.0.2,9.034870624542236,0.0,1.0,0.004580020904541016,"30_act1=softplus,act2=hard_sigmoid,batch_size=16,bi1=constant,bi2=lecun_uniform,epochs=5,ki1=random_uniform,ki2=random_uniform,layer1=2,loss=categorical_hinge,lr=5.0729,optimizer=adam,unit1=1",categorical_hinge,16.0,adam,5.0729262053018855,random_uniform,random_uniform,constant,lecun_uniform,softplus,hard_sigmoid,5.0,1.0,2.0
45a9f_00031,0.5062500238418579,0.5049999952316284,5.347586631774902,True,,,1.0,362130d62aec4cba847084bfadcac711,2022-09-03_16-26-13,1662222373.0,5.347586631774902,20911.0,b430368dd22d,172.17.0.2,5.347586631774902,0.0,1.0,0.004927873611450195,"31_act1=hard_sigmoid,act2=elu,batch_size=128,bi1=orthogonal,bi2=truncated_normal,epochs=12,ki1=constant,ki2=glorot_normal,layer1=0,loss=poisson,lr=0.5554,optimizer=rmsprop,unit1=1",poisson,128.0,rmsprop,0.5554374809970319,constant,glorot_normal,orthogonal,truncated_normal,hard_sigmoid,elu,12.0,1.0,0.0
45a9f_00032,0.5062500238418579,0.5049999952316284,3.930945873260498,True,,,1.0,9e6e79e161934c4b89c41f7c99b70a90,2022-09-03_16-26-22,1662222382.0,3.930945873260498,21234.0,b430368dd22d,172.17.0.2,3.930945873260498,0.0,1.0,0.004866361618041992,"32_act1=sigmoid,act2=softsign,batch_size=128,bi1=he_normal,bi2=random_uniform,epochs=4,ki1=random_uniform,ki2=glorot_uniform,layer1=0,loss=mean_absolute_percentage_error,lr=0.2703,optimizer=sgd,unit1=1",mean_absolute_percentage_error,128.0,sgd,0.2702747355372305,random_uniform,glorot_uniform,he_normal,random_uniform,sigmoid,softsign,4.0,1.0,0.0
45a9f_00033,0.5062500238418579,0.5049999952316284,4.310848236083984,True,,,1.0,48d0b049256143f199b3b10ac6056074,2022-09-03_16-26-30,1662222390.0,4.310848236083984,21542.0,b430368dd22d,172.17.0.2,4.310848236083984,0.0,1.0,0.004876375198364258,"33_act1=relu,act2=exponential,batch_size=128,bi1=he_normal,bi2=random_uniform,epochs=6,ki1=truncated_normal,ki2=lecun_uniform,layer1=2,loss=mean_squared_error,lr=7.4022,optimizer=sgd,unit1=0",mean_squared_error,128.0,sgd,7.402172463423942,truncated_normal,lecun_uniform,he_normal,random_uniform,relu,exponential,6.0,0.0,2.0
45a9f_00034,0.5062500238418579,0.5049999952316284,4.84856653213501,True,,,1.0,32b095ed6f314570aff75ebd6191a482,2022-09-03_16-26-40,1662222400.0,4.84856653213501,21860.0,b430368dd22d,172.17.0.2,4.84856653213501,0.0,1.0,0.0049784183502197266,"34_act1=sigmoid,act2=relu,batch_size=256,bi1=random_normal,bi2=random_uniform,epochs=12,ki1=random_uniform,ki2=glorot_uniform,layer1=2,loss=hinge,lr=6.4967,optimizer=adamax,unit1=2",hinge,256.0,adamax,6.496675792408045,random_uniform,glorot_uniform,random_normal,random_uniform,sigmoid,relu,12.0,2.0,2.0
45a9f_00035,0.5062500238418579,0.5049999952316284,5.0552897453308105,True,,,1.0,e3033ce85142488a9361c7e664001a79,2022-09-03_16-26-49,1662222409.0,5.0552897453308105,22169.0,b430368dd22d,172.17.0.2,5.0552897453308105,0.0,1.0,0.004990816116333008,"35_act1=elu,act2=hard_sigmoid,batch_size=256,bi1=glorot_normal,bi2=he_uniform,epochs=15,ki1=constant,ki2=he_uniform,layer1=1,loss=categorical_crossentropy,lr=8.9069,optimizer=adamax,unit1=1",categorical_crossentropy,256.0,adamax,8.906884329717034,constant,he_uniform,glorot_normal,he_uniform,elu,hard_sigmoid,15.0,1.0,1.0
45a9f_00036,,,,,,,,915fcbedd02340459c14fcf11ede7ef7,2022-09-03_16-26-53,1662222413.0,,22468.0,b430368dd22d,172.17.0.2,,,,,,squared_hinge,64.0,adadelta,2.0484265737492393,random_uniform,truncated_normal,orthogonal,truncated_normal,softsign,linear,12.0,1.0,0.0
45a9f_00037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45a9f_00080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
