trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.ki3,config.bi1,config.bi2,config.bi3,config.act1,config.act2,config.act3,config.epochs,config.unit1,config.unit2,config.layer1,config.layer2
13004_00000,0.0,0.0,125.98525834083557,True,,,1.0,72f9021086d743cc88c1205e7288dfcd,2022-09-08_03-50-28,1662609028.0,125.98525834083557,31521.0,83e87206dee1,172.17.0.3,125.98525834083557,0.0,1.0,0.0049591064453125,0,mean_absolute_error,32.0,sgd,0.01,uniform,uniform,uniform,zeros,zeros,zeros,tanh,tanh,softmax,20.0,3.0,2.0,1.0,1.0
13004_00001,0.0,0.0,13.996776103973389,True,,,1.0,9e3e495c85414fd5b4df9ddbf5bbce1c,2022-09-08_03-50-46,1662609046.0,13.996776103973389,31745.0,83e87206dee1,172.17.0.3,13.996776103973389,0.0,1.0,0.0051136016845703125,"1_act1=sigmoid,act2=linear,act3=softplus,batch_size=512,bi1=ones,bi2=glorot_normal,bi3=zeros,epochs=11,ki1=he_uniform,ki2=lecun_uniform,ki3=uniform,layer1=2,layer2=1,loss=sparse_categorical_crossentropy,lr=1.5335,optimizer=adagrad,unit1=1,unit2=1",sparse_categorical_crossentropy,512.0,adagrad,1.533514877809399,he_uniform,lecun_uniform,uniform,ones,glorot_normal,zeros,sigmoid,linear,softplus,11.0,1.0,1.0,2.0,1.0
13004_00002,0.0,0.0,49.236690044403076,True,,,1.0,5def140c54b24149b7924f5509ceafe8,2022-09-08_03-51-39,1662609099.0,49.236690044403076,31946.0,83e87206dee1,172.17.0.3,49.236690044403076,0.0,1.0,0.0046536922454833984,"2_act1=linear,act2=tanh,act3=elu,batch_size=128,bi1=lecun_uniform,bi2=glorot_normal,bi3=truncated_normal,epochs=14,ki1=truncated_normal,ki2=constant,ki3=he_uniform,layer1=1,layer2=1,loss=mean_squared_error,lr=6.0672,optimizer=nadam,unit1=1,unit2=2",mean_squared_error,128.0,nadam,6.067150857113513,truncated_normal,constant,he_uniform,lecun_uniform,glorot_normal,truncated_normal,linear,tanh,elu,14.0,1.0,2.0,1.0,1.0
13004_00003,0.0,0.0,367.26864552497864,True,,,1.0,edb37bc243da40f8a7f23980b79db94c,2022-09-08_03-57-51,1662609471.0,367.26864552497864,32154.0,83e87206dee1,172.17.0.3,367.26864552497864,0.0,1.0,0.004628896713256836,"3_act1=hard_sigmoid,act2=exponential,act3=softplus,batch_size=16,bi1=random_uniform,bi2=glorot_normal,bi3=random_uniform,epochs=28,ki1=orthogonal,ki2=constant,ki3=lecun_uniform,layer1=0,layer2=2,loss=categorical_hinge,lr=8.6990,optimizer=sgd,unit1=1,unit2=2",categorical_hinge,16.0,sgd,8.698963750724921,orthogonal,constant,lecun_uniform,random_uniform,glorot_normal,random_uniform,hard_sigmoid,exponential,softplus,28.0,1.0,2.0,0.0,2.0
13004_00004,0.0,0.0,163.57506489753723,True,,,1.0,c2e153cc1ea245a4b041259881dc6b1f,2022-09-08_04-00-39,1662609639.0,163.57506489753723,32468.0,83e87206dee1,172.17.0.3,163.57506489753723,0.0,1.0,0.004445791244506836,"4_act1=elu,act2=linear,act3=linear,batch_size=16,bi1=he_normal,bi2=ones,bi3=he_normal,epochs=9,ki1=ones,ki2=orthogonal,ki3=ones,layer1=2,layer2=1,loss=mean_squared_logarithmic_error,lr=9.1986,optimizer=rmsprop,unit1=3,unit2=1",mean_squared_logarithmic_error,16.0,rmsprop,9.198556244271987,ones,orthogonal,ones,he_normal,ones,he_normal,elu,linear,linear,9.0,3.0,1.0,2.0,1.0
13004_00005,0.0,0.0,149.10185170173645,True,,,1.0,0d0ba6ae09a442dab5894ac53d73a3de,2022-09-08_04-03-12,1662609792.0,149.10185170173645,32741.0,83e87206dee1,172.17.0.3,149.10185170173645,0.0,1.0,0.004801034927368164,"5_act1=elu,act2=tanh,act3=elu,batch_size=16,bi1=lecun_normal,bi2=ones,bi3=random_uniform,epochs=11,ki1=he_normal,ki2=truncated_normal,ki3=glorot_uniform,layer1=1,layer2=1,loss=squared_hinge,lr=7.8050,optimizer=sgd,unit1=1,unit2=1",squared_hinge,16.0,sgd,7.8049572949651695,he_normal,truncated_normal,glorot_uniform,lecun_normal,ones,random_uniform,elu,tanh,elu,11.0,1.0,1.0,1.0,1.0
13004_00006,0.0,0.0,18.431018590927124,True,,,1.0,457fd92c7f024ef9b896b7c7479ae68d,2022-09-08_04-03-35,1662609815.0,18.431018590927124,33007.0,83e87206dee1,172.17.0.3,18.431018590927124,0.0,1.0,0.00446009635925293,"6_act1=selu,act2=elu,act3=sigmoid,batch_size=256,bi1=constant,bi2=he_normal,bi3=lecun_uniform,epochs=9,ki1=he_uniform,ki2=uniform,ki3=orthogonal,layer1=1,layer2=2,loss=kullback_leibler_divergence,lr=2.9960,optimizer=sgd,unit1=3,unit2=1",kullback_leibler_divergence,256.0,sgd,2.995959818068859,he_uniform,uniform,orthogonal,constant,he_normal,lecun_uniform,selu,elu,sigmoid,9.0,3.0,1.0,1.0,2.0
13004_00007,0.0,0.0,69.90182256698608,True,,,1.0,b94cc0b82bbe42dbadc76374032998f3,2022-09-08_04-04-49,1662609889.0,69.90182256698608,33210.0,83e87206dee1,172.17.0.3,69.90182256698608,0.0,1.0,0.004274845123291016,"7_act1=sigmoid,act2=tanh,act3=tanh,batch_size=32,bi1=constant,bi2=random_normal,bi3=zeros,epochs=9,ki1=ones,ki2=uniform,ki3=truncated_normal,layer1=2,layer2=1,loss=mean_absolute_error,lr=4.4076,optimizer=adamax,unit1=3,unit2=2",mean_absolute_error,32.0,adamax,4.407628028619535,ones,uniform,truncated_normal,constant,random_normal,zeros,sigmoid,tanh,tanh,9.0,3.0,2.0,2.0,1.0
13004_00008,0.0,0.0,57.70415186882019,True,,,1.0,8ed29f0517f64514aa51333b2e5b38ee,2022-09-08_04-05-51,1662609951.0,57.70415186882019,33421.0,83e87206dee1,172.17.0.3,57.70415186882019,0.0,1.0,0.005102872848510742,"8_act1=hard_sigmoid,act2=tanh,act3=selu,batch_size=128,bi1=he_uniform,bi2=lecun_uniform,bi3=zeros,epochs=23,ki1=lecun_normal,ki2=ones,ki3=orthogonal,layer1=2,layer2=0,loss=mean_absolute_error,lr=0.2539,optimizer=sgd,unit1=6,unit2=4",mean_absolute_error,128.0,sgd,0.25386453121709296,lecun_normal,ones,orthogonal,he_uniform,lecun_uniform,zeros,hard_sigmoid,tanh,selu,23.0,6.0,4.0,2.0,0.0
13004_00009,0.0,0.0,11.028910636901855,True,,,1.0,abbfb93c946a4a1dafacf080dc915c17,2022-09-08_04-06-07,1662609967.0,11.028910636901855,33633.0,83e87206dee1,172.17.0.3,11.028910636901855,0.0,1.0,0.0054209232330322266,"9_act1=selu,act2=sigmoid,act3=sigmoid,batch_size=512,bi1=lecun_normal,bi2=lecun_uniform,bi3=ones,epochs=11,ki1=constant,ki2=constant,ki3=zeros,layer1=0,layer2=1,loss=logcosh,lr=7.9992,optimizer=sgd,unit1=1,unit2=2",logcosh,512.0,sgd,7.999161053815809,constant,constant,zeros,lecun_normal,lecun_uniform,ones,selu,sigmoid,sigmoid,11.0,1.0,2.0,0.0,1.0
13004_00010,,,,,,,,01bb2a91877f40859fd84478b136092c,2022-09-08_04-06-11,1662609971.0,,33834.0,83e87206dee1,172.17.0.3,,,,,,categorical_hinge,32.0,nadam,6.332408115868831,zeros,orthogonal,random_uniform,constant,he_uniform,constant,softplus,softmax,softmax,33.0,6.0,1.0,2.0,1.0
13004_00011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13004_00012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
