trial_id,mean_loss,holdout_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.bi1,config.act1,config.epochs,config.unit1
74dea96e,7.515779495239258,8.21759033203125,3.9577455520629883,True,,,1.0,-7.515779495239258,8ee14b7acad74ffa966b9ee05cc904c8,2022-09-18_10-27-20,1663496840.0,3.9577455520629883,32090.0,b430368dd22d,172.17.0.2,3.9577455520629883,0.0,1.0,0.004698753356933594,"1_act1=linear,batch_size=32,bi1=zeros,epochs=200,ki1=glorot_uniform,loss=mean_squared_error,lr=0.0010,optimizer=rmsprop,unit1=1",mean_squared_error,32.0,rmsprop,0.001,glorot_uniform,zeros,linear,200.0,1.0
77f04946,7.085078239440918,7.698263168334961,3.3610928058624268,True,,,1.0,-7.085078239440918,bab3848529304224ac9d6322de097381,2022-09-18_10-27-29,1663496849.0,3.3610928058624268,32294.0,b430368dd22d,172.17.0.2,3.3610928058624268,0.0,1.0,0.004854917526245117,"2_act1=elu,batch_size=16,bi1=zeros,epochs=161,ki1=zeros,loss=mean_squared_error,lr=0.0000,optimizer=sgd,unit1=0",mean_squared_error,16.0,sgd,9.999999974752427e-07,zeros,zeros,elu,161.0,0.0
7ad9b98a,,,,,,,,,5e19f48cb07340db98bf7409770a2800,2022-09-18_10-27-35,1663496855.0,,32628.0,b430368dd22d,172.17.0.2,,,,,,categorical_hinge,64.0,adadelta,5.000000476837158,orthogonal,orthogonal,relu,274.0,1.0
8036c6c0,8.840968132019043,9.462167739868164,4.535264015197754,True,,,1.0,-8.840968132019043,797e275ee7f34263891db97db1a37063,2022-09-18_10-27-46,1663496866.0,4.535264015197754,32854.0,b430368dd22d,172.17.0.2,4.535264015197754,0.0,1.0,0.004761219024658203,"4_act1=selu,batch_size=32,bi1=glorot_uniform,epochs=305,ki1=glorot_uniform,loss=mean_squared_logarithmic_error,lr=7.5000,optimizer=adagrad,unit1=2",mean_squared_logarithmic_error,32.0,adagrad,7.5,glorot_uniform,glorot_uniform,selu,305.0,2.0
84634cb4,6.124368667602539,6.739899158477783,2.9385132789611816,True,,,1.0,-6.124368667602539,88605cb12eb444e480c00c126962b410,2022-09-18_10-27-55,1663496875.0,2.9385132789611816,33056.0,b430368dd22d,172.17.0.2,2.9385132789611816,0.0,1.0,0.004569053649902344,"5_act1=hard_sigmoid,batch_size=256,bi1=random_normal,epochs=200,ki1=random_normal,loss=sparse_categorical_crossentropy,lr=2.5000,optimizer=adam,unit1=0",sparse_categorical_crossentropy,256.0,adam,2.5000007152557373,random_normal,random_normal,hard_sigmoid,200.0,0.0
8a59457e,6.159923076629639,6.7739386558532715,3.2432456016540527,True,,,1.0,-6.159923076629639,28cf4f540d9f493fb25289e0949d3495,2022-09-18_10-28-03,1663496883.0,3.2432456016540527,33247.0,b430368dd22d,172.17.0.2,3.2432456016540527,0.0,1.0,0.004849672317504883,"6_act1=softsign,batch_size=128,bi1=constant,epochs=247,ki1=random_uniform,loss=squared_hinge,lr=3.7500,optimizer=adamax,unit1=2",squared_hinge,128.0,adamax,3.750000476837158,random_uniform,constant,softsign,247.0,2.0
8f1e0158,223106032.0,373900544.0,3.475184679031372,True,,,1.0,-223106032.0,69df8eaf33954d8185fd979040db5699,2022-09-18_10-28-12,1663496892.0,3.475184679031372,33436.0,b430368dd22d,172.17.0.2,3.475184679031372,0.0,1.0,0.004457712173461914,"7_act1=exponential,batch_size=32,bi1=glorot_normal,epochs=145,ki1=he_normal,loss=binary_crossentropy,lr=8.7500,optimizer=adagrad,unit1=1",binary_crossentropy,32.0,adagrad,8.75,he_normal,glorot_normal,exponential,145.0,1.0
947bb1b8,6.124368667602539,6.739899158477783,2.7201943397521973,True,,,1.0,-6.124368667602539,da77557c91e64f4c914c7f074e38ad52,2022-09-18_10-28-21,1663496901.0,2.7201943397521973,33630.0,b430368dd22d,172.17.0.2,2.7201943397521973,0.0,1.0,0.007417201995849609,"8_act1=softmax,batch_size=256,bi1=he_normal,epochs=131,ki1=glorot_normal,loss=mean_absolute_percentage_error,lr=6.2500,optimizer=adam,unit1=0",mean_absolute_percentage_error,256.0,adam,6.250000476837158,glorot_normal,he_normal,softmax,131.0,0.0
99d91696,7.14949893951416,7.765029430389404,3.5221290588378906,True,,,1.0,-7.14949893951416,d9f167c5efb145409d1d4a580a69adbe,2022-09-18_10-28-29,1663496909.0,3.5221290588378906,33863.0,b430368dd22d,172.17.0.2,3.5221290588378906,0.0,1.0,0.004891157150268555,"9_act1=tanh,batch_size=64,bi1=random_uniform,epochs=179,ki1=constant,loss=categorical_crossentropy,lr=1.2500,optimizer=rmsprop,unit1=1",categorical_crossentropy,64.0,rmsprop,1.2500008344650269,constant,random_uniform,tanh,179.0,1.0
9e9db43e,6.4722900390625,7.0707550048828125,3.3424124717712402,True,,,1.0,-6.4722900390625,df2c3b7c5d1543f2b150eb86c3c3aaf6,2022-09-18_10-28-39,1663496919.0,3.3424124717712402,34454.0,b430368dd22d,172.17.0.2,3.3424124717712402,0.0,1.0,0.00583195686340332,"10_act1=softsign,batch_size=512,bi1=random_uniform,epochs=222,ki1=lecun_uniform,loss=squared_hinge,lr=1.8750,optimizer=adadelta,unit1=2",squared_hinge,512.0,adadelta,1.8750007152557373,lecun_uniform,random_uniform,softsign,222.0,2.0
