trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.ki3,config.bi1,config.bi2,config.bi3,config.act1,config.act2,config.act3,config.epochs,config.layer2
20c1113e,1.0,1.0,5.546546459197998,True,,,1.0,dd128b93317b4102bdb3d4b3fea79c49,2022-09-10_15-28-10,1662823690.0,5.546546459197998,17099.0,b430368dd22d,172.17.0.2,5.546546459197998,0.0,1.0,0.004462480545043945,"12_act1=sigmoid,act2=sigmoid,act3=softsign,batch_size=64,bi1=ones,bi2=he_uniform,bi3=glorot_normal,epochs=1,ki1=glorot_normal,ki2=glorot_uniform,ki3=lecun_normal,layer2=0,loss=hinge,lr=2.2895,optimizer=sgd",hinge,64.0,sgd,2.2894566352075842,glorot_normal,glorot_uniform,lecun_normal,ones,he_uniform,glorot_normal,sigmoid,sigmoid,softsign,1.0,0.0
274fab6e,0.5062500238418579,0.4749999940395355,5.34995174407959,True,,,1.0,7bad3b6a44134b01a58f462653ebc5d9,2022-09-10_15-28-21,1662823701.0,5.34995174407959,17371.0,b430368dd22d,172.17.0.2,5.34995174407959,0.0,1.0,0.004619121551513672,"13_act1=softplus,act2=sigmoid,act3=linear,batch_size=512,bi1=random_normal,bi2=glorot_uniform,bi3=glorot_normal,epochs=2,ki1=zeros,ki2=constant,ki3=he_uniform,layer2=2,loss=mean_absolute_percentage_error,lr=4.7189,optimizer=rmsprop",mean_absolute_percentage_error,512.0,rmsprop,4.718876236345322,zeros,constant,he_uniform,random_normal,glorot_uniform,glorot_normal,softplus,sigmoid,linear,2.0,2.0
2dde6b1e,0.4937500059604645,0.5249999761581421,5.760836839675903,True,,,1.0,0c9faf1c52c34becab07a4109a2217fc,2022-09-10_15-28-32,1662823712.0,5.760836839675903,17665.0,b430368dd22d,172.17.0.2,5.760836839675903,0.0,1.0,0.0048007965087890625,"14_act1=softplus,act2=hard_sigmoid,act3=softplus,batch_size=32,bi1=he_uniform,bi2=ones,bi3=truncated_normal,epochs=1,ki1=he_uniform,ki2=random_normal,ki3=he_normal,layer2=2,loss=kullback_leibler_divergence,lr=8.1821,optimizer=adagrad",kullback_leibler_divergence,32.0,adagrad,8.182134386232109,he_uniform,random_normal,he_normal,he_uniform,ones,truncated_normal,softplus,hard_sigmoid,softplus,1.0,2.0
346d2574,0.4937500059604645,0.5249999761581421,5.277415037155151,True,,,1.0,a7e3ee157b17474bbd431be0cdc9e8c6,2022-09-10_15-28-43,1662823723.0,5.277415037155151,18109.0,b430368dd22d,172.17.0.2,5.277415037155151,0.0,1.0,0.004937410354614258,"15_act1=hard_sigmoid,act2=elu,act3=softplus,batch_size=512,bi1=truncated_normal,bi2=constant,bi3=glorot_uniform,epochs=1,ki1=random_normal,ki2=zeros,ki3=truncated_normal,layer2=1,loss=binary_crossentropy,lr=3.8593,optimizer=rmsprop",binary_crossentropy,512.0,rmsprop,3.8592629682876987,random_normal,zeros,truncated_normal,truncated_normal,constant,glorot_uniform,hard_sigmoid,elu,softplus,1.0,1.0
3afbee02,0.5062500238418579,0.4749999940395355,4.60582423210144,True,,,1.0,1f4b058965f84e17b972aab3290b3242,2022-09-10_15-28-52,1662823732.0,4.60582423210144,18509.0,b430368dd22d,172.17.0.2,4.60582423210144,0.0,1.0,0.004835367202758789,"16_act1=hard_sigmoid,act2=linear,act3=exponential,batch_size=128,bi1=constant,bi2=ones,bi3=zeros,epochs=1,ki1=random_normal,ki2=random_uniform,ki3=lecun_normal,layer2=2,loss=sparse_categorical_crossentropy,lr=2.2939,optimizer=adamax",sparse_categorical_crossentropy,128.0,adamax,2.2939387333372747,random_normal,random_uniform,lecun_normal,constant,ones,zeros,hard_sigmoid,linear,exponential,1.0,2.0
40f1bd46,0.4937500059604645,0.5249999761581421,7.90167760848999,True,,,1.0,30bca9b226ee42c781c35925ec5332fd,2022-09-10_15-29-05,1662823745.0,7.90167760848999,18991.0,b430368dd22d,172.17.0.2,7.90167760848999,0.0,1.0,0.0047152042388916016,"17_act1=selu,act2=softsign,act3=softplus,batch_size=32,bi1=lecun_normal,bi2=lecun_normal,bi3=lecun_normal,epochs=2,ki1=constant,ki2=he_normal,ki3=glorot_uniform,layer2=2,loss=kullback_leibler_divergence,lr=0.4157,optimizer=rmsprop",kullback_leibler_divergence,32.0,rmsprop,0.4156506300903588,constant,he_normal,glorot_uniform,lecun_normal,lecun_normal,lecun_normal,selu,softsign,softplus,2.0,2.0
49a25b62,,,,,,,,a5b2c4126cec49c4abf88c06d04b269b,2022-09-10_15-29-10,1662823750.0,,19455.0,b430368dd22d,172.17.0.2,,,,,,logcosh,128.0,adagrad,7.171409958460666,he_normal,random_normal,lecun_uniform,orthogonal,zeros,lecun_normal,tanh,elu,softsign,1.0,0.0
4ea78894,,,,,,,,1cfa71398967451a8af38ed301ec3390,2022-09-10_15-29-18,1662823758.0,,19696.0,b430368dd22d,172.17.0.2,,,,,,categorical_crossentropy,64.0,sgd,5.964658676728162,lecun_normal,truncated_normal,orthogonal,orthogonal,constant,he_normal,exponential,softmax,softmax,1.0,0.0
536d034a,0.5062500238418579,0.4749999940395355,5.088479995727539,True,,,1.0,b37bbc0eb31f4d4ba117565722fa714d,2022-09-10_15-29-32,1662823772.0,5.088479995727539,19940.0,b430368dd22d,172.17.0.2,5.088479995727539,0.0,1.0,0.00490117073059082,"20_act1=softplus,act2=hard_sigmoid,act3=relu,batch_size=128,bi1=truncated_normal,bi2=orthogonal,bi3=he_uniform,epochs=1,ki1=zeros,ki2=glorot_normal,ki3=glorot_normal,layer2=0,loss=sparse_categorical_crossentropy,lr=9.4989,optimizer=sgd",sparse_categorical_crossentropy,128.0,sgd,9.49889639899744,zeros,glorot_normal,glorot_normal,truncated_normal,orthogonal,he_uniform,softplus,hard_sigmoid,relu,1.0,0.0
58319ba2,0.4937500059604645,0.5249999761581421,4.239965438842773,True,,,1.0,e45174001c654b409ccdb3c887d7e359,2022-09-10_15-29-41,1662823781.0,4.239965438842773,20212.0,b430368dd22d,172.17.0.2,4.239965438842773,0.0,1.0,0.00466465950012207,"21_act1=softplus,act2=softmax,act3=sigmoid,batch_size=128,bi1=random_uniform,bi2=lecun_uniform,bi3=random_normal,epochs=1,ki1=orthogonal,ki2=ones,ki3=orthogonal,layer2=2,loss=kullback_leibler_divergence,lr=3.2078,optimizer=sgd",kullback_leibler_divergence,128.0,sgd,3.207789745236059,orthogonal,ones,orthogonal,random_uniform,lecun_uniform,random_normal,softplus,softmax,sigmoid,1.0,2.0
5e279c28,0.5062500238418579,0.4749999940395355,6.75874662399292,True,,,1.0,c23c662db11e473babdb7c7a3ef6286c,2022-09-10_15-29-52,1662823792.0,6.75874662399292,20478.0,b430368dd22d,172.17.0.2,6.75874662399292,0.0,1.0,0.004906177520751953,"22_act1=softplus,act2=linear,act3=sigmoid,batch_size=32,bi1=zeros,bi2=lecun_uniform,bi3=truncated_normal,epochs=2,ki1=lecun_normal,ki2=random_uniform,ki3=lecun_normal,layer2=2,loss=mean_absolute_percentage_error,lr=9.8507,optimizer=sgd",mean_absolute_percentage_error,32.0,sgd,9.850739005290333,lecun_normal,random_uniform,lecun_normal,zeros,lecun_uniform,truncated_normal,softplus,linear,sigmoid,2.0,2.0
63853130,,,,,,,,09c83fa44bd44fa28e5569b0ddc32b2f,2022-09-10_15-29-57,1662823797.0,,20928.0,b430368dd22d,172.17.0.2,,,,,,mean_absolute_error,128.0,adagrad,8.697229221340177,zeros,he_normal,lecun_normal,random_uniform,lecun_normal,truncated_normal,selu,softsign,sigmoid,2.0,1.0
6aac83e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
