trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.ki3,config.bi1,config.bi2,config.bi3,config.act1,config.act2,config.act3,config.epochs,config.unit1,config.unit2,config.layer1,config.layer2
7ef3f0a0,0.10781250149011612,0.09375,4.931401491165161,True,,,1.0,ddc04f951e6a455a9c7741b031381702,2022-09-10_13-43-26,1662817406.0,4.931401491165161,15432.0,b430368dd22d,172.17.0.2,4.931401491165161,0.0,1.0,0.005383491516113281,"11_act1=softmax,act2=softmax,act3=softsign,batch_size=512,bi1=ones,bi2=truncated_normal,bi3=he_normal,epochs=25,ki1=orthogonal,ki2=he_uniform,ki3=truncated_normal,layer1=2,layer2=2,loss=kullback_leibler_divergence,lr=6.6077,optimizer=adam,unit1=10,unit2=10",kullback_leibler_divergence,512.0,adam,6.60766318767754,orthogonal,he_uniform,truncated_normal,ones,truncated_normal,he_normal,softmax,softmax,softsign,25.0,10.0,10.0,2.0,2.0
861b1962,0.5453125238418579,0.612500011920929,20.587762117385864,True,,,1.0,e32b7a7fa9cc477cb6d4b2bb885b03bd,2022-09-10_13-43-51,1662817431.0,20.587762117385864,15894.0,b430368dd22d,172.17.0.2,20.587762117385864,0.0,1.0,0.005094289779663086,"12_act1=hard_sigmoid,act2=softplus,act3=elu,batch_size=20,bi1=he_normal,bi2=constant,bi3=lecun_uniform,epochs=48,ki1=constant,ki2=lecun_normal,ki3=zeros,layer1=0,layer2=0,loss=mean_absolute_percentage_error,lr=1.9560,optimizer=nadam,unit1=10,unit2=40",mean_absolute_percentage_error,20.0,nadam,1.9559517487152684,constant,lecun_normal,zeros,he_normal,constant,lecun_uniform,hard_sigmoid,softplus,elu,48.0,10.0,40.0,0.0,0.0
8c10d47e,0.5484374761581421,0.581250011920929,7.002749681472778,True,,,1.0,dfd9da71535942439f60e0a00ec9da0a,2022-09-10_13-44-04,1662817444.0,7.002749681472778,16882.0,b430368dd22d,172.17.0.2,7.002749681472778,0.0,1.0,0.00538325309753418,"13_act1=linear,act2=softmax,act3=hard_sigmoid,batch_size=64,bi1=constant,bi2=ones,bi3=glorot_normal,epochs=20,ki1=random_normal,ki2=random_normal,ki3=he_uniform,layer1=2,layer2=2,loss=squared_hinge,lr=1.0918,optimizer=adadelta,unit1=10,unit2=10",squared_hinge,64.0,adadelta,1.091799976356001,random_normal,random_normal,he_uniform,constant,ones,glorot_normal,linear,softmax,hard_sigmoid,20.0,10.0,10.0,2.0,2.0
9b915518,0.10781250149011612,0.09375,9.413054466247559,True,,,1.0,37248171c498405ba4e4a2de2db304ef,2022-09-10_13-44-19,1662817459.0,9.413054466247559,17543.0,b430368dd22d,172.17.0.2,9.413054466247559,0.0,1.0,0.004659891128540039,"14_act1=softsign,act2=hard_sigmoid,act3=exponential,batch_size=32,bi1=random_normal,bi2=random_uniform,bi3=he_normal,epochs=20,ki1=lecun_normal,ki2=truncated_normal,ki3=he_normal,layer1=1,layer2=1,loss=kullback_leibler_divergence,lr=1.4313,optimizer=adadelta,unit1=10,unit2=20",kullback_leibler_divergence,32.0,adadelta,1.431270573079705,lecun_normal,truncated_normal,he_normal,random_normal,random_uniform,he_normal,softsign,hard_sigmoid,exponential,20.0,10.0,20.0,1.0,1.0
a2c5c760,,,,,,,,d6de8931e3984c4582e5073cc2cf8e99,2022-09-10_13-44-24,1662817464.0,,18888.0,b430368dd22d,172.17.0.2,,,,,,poisson,20.0,nadam,7.55372967012328,lecun_uniform,ones,ones,lecun_normal,orthogonal,he_normal,relu,exponential,selu,20.0,20.0,10.0,0.0,1.0
aba96e86,,,,,,,,98c386de7cf14d1994deffa2c784a726,2022-09-10_13-44-32,1662817472.0,,19375.0,b430368dd22d,172.17.0.2,,,,,,hinge,128.0,nadam,6.560966631409267,lecun_uniform,lecun_uniform,he_uniform,orthogonal,constant,orthogonal,hard_sigmoid,linear,relu,8.0,40.0,10.0,1.0,2.0
b06e5594,0.34687501192092896,0.29374998807907104,5.579988241195679,True,,,1.0,81361225c2dc4a30bcd6fb4dbf766f3c,2022-09-10_13-44-47,1662817487.0,5.579988241195679,19938.0,b430368dd22d,172.17.0.2,5.579988241195679,0.0,1.0,0.007026195526123047,"17_act1=softsign,act2=exponential,act3=tanh,batch_size=32,bi1=glorot_normal,bi2=constant,bi3=glorot_uniform,epochs=12,ki1=random_normal,ki2=ones,ki3=lecun_uniform,layer1=1,layer2=0,loss=mean_absolute_percentage_error,lr=5.9617,optimizer=sgd,unit1=40,unit2=10",mean_absolute_percentage_error,32.0,sgd,5.961665854522283,random_normal,ones,lecun_uniform,glorot_normal,constant,glorot_uniform,softsign,exponential,tanh,12.0,40.0,10.0,1.0,0.0
b5cc53b0,0.5453125238418579,0.612500011920929,9.376595973968506,True,,,1.0,66f806cf8f8f4ce495f4b1f5360af339,2022-09-10_13-45-01,1662817501.0,9.376595973968506,20396.0,b430368dd22d,172.17.0.2,9.376595973968506,0.0,1.0,0.005342006683349609,"18_act1=linear,act2=relu,act3=tanh,batch_size=16,bi1=lecun_uniform,bi2=he_normal,bi3=glorot_uniform,epochs=12,ki1=zeros,ki2=he_normal,ki3=zeros,layer1=0,layer2=2,loss=categorical_hinge,lr=8.5299,optimizer=adagrad,unit1=10,unit2=20",categorical_hinge,16.0,adagrad,8.52987065711468,zeros,he_normal,zeros,lecun_uniform,he_normal,glorot_uniform,linear,relu,tanh,12.0,10.0,20.0,0.0,2.0
bc5ac630,0.10781250149011612,0.09375,17.729790687561035,True,,,1.0,cdd98f83ab7040c8b77c8c04d642a97b,2022-09-10_13-45-25,1662817525.0,17.729790687561035,21048.0,b430368dd22d,172.17.0.2,17.729790687561035,0.0,1.0,0.0052149295806884766,"19_act1=tanh,act2=exponential,act3=linear,batch_size=16,bi1=he_normal,bi2=ones,bi3=ones,epochs=31,ki1=lecun_normal,ki2=constant,ki3=zeros,layer1=2,layer2=2,loss=logcosh,lr=5.8650,optimizer=adam,unit1=10,unit2=10",logcosh,16.0,adam,5.865000271740038,lecun_normal,constant,zeros,he_normal,ones,ones,tanh,exponential,linear,31.0,10.0,10.0,2.0,2.0
c54be292,0.34687501192092896,0.29374998807907104,5.668396949768066,True,,,1.0,068b3dd762d34320bad9f60073018b15,2022-09-10_13-45-36,1662817536.0,5.668396949768066,21699.0,b430368dd22d,172.17.0.2,5.668396949768066,0.0,1.0,0.005162954330444336,"20_act1=softsign,act2=softmax,act3=sigmoid,batch_size=32,bi1=he_normal,bi2=lecun_normal,bi3=he_normal,epochs=10,ki1=ones,ki2=zeros,ki3=constant,layer1=0,layer2=2,loss=categorical_hinge,lr=5.5937,optimizer=adam,unit1=10,unit2=20",categorical_hinge,32.0,adam,5.5937241658409524,ones,zeros,constant,he_normal,lecun_normal,he_normal,softsign,softmax,sigmoid,10.0,10.0,20.0,0.0,2.0
