trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.act1,config.act2,config.act3,config.act4,config.epochs,config.unit3,config.layer3
e44954f2,0.6626250147819519,0.6639999747276306,23.502447366714478,True,,,1.0,18098c9919144031943e9c51f07d2b80,2022-09-18_00-58-07,1663462687.0,23.502447366714478,27254.0,b430368dd22d,172.17.0.2,23.502447366714478,0.0,1.0,0.00595402717590332,"1_act1=relu,act2=relu,act3=relu,act4=softmax,batch_size=1000,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,epochs=5,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,layer3=1,loss=categorical_crossentropy,lr=0.0010,optimizer=adam,unit3=1024",categorical_crossentropy,1000.0,adam,0.001,glorot_uniform,glorot_uniform,glorot_uniform,glorot_uniform,zeros,zeros,zeros,zeros,relu,relu,relu,softmax,5.0,1024.0,1.0
e7485c34,0.1016250029206276,0.09350000321865082,22.63562560081482,True,,,1.0,4a92245cd618489791ddd7022524aada,2022-09-18_00-58-35,1663462715.0,22.63562560081482,28609.0,b430368dd22d,172.17.0.2,22.63562560081482,0.0,1.0,0.0048487186431884766,"2_act1=linear,act2=selu,act3=selu,act4=sigmoid,batch_size=512,bi1=lecun_normal,bi2=glorot_uniform,bi3=he_uniform,bi4=zeros,epochs=5,ki1=zeros,ki2=random_uniform,ki3=lecun_uniform,ki4=constant,layer3=1,loss=mean_squared_logarithmic_error,lr=4.3850,optimizer=rmsprop,unit3=1024",mean_squared_logarithmic_error,512.0,rmsprop,4.385009284417433,zeros,random_uniform,lecun_uniform,constant,lecun_normal,glorot_uniform,he_uniform,zeros,linear,selu,selu,sigmoid,5.0,1024.0,1.0
f598367e,0.1016250029206276,0.09350000321865082,63.799792528152466,True,,,1.0,9f416f01d21446b7a1b8aba69a18e891,2022-09-18_00-59-44,1663462784.0,63.799792528152466,28824.0,b430368dd22d,172.17.0.2,63.799792528152466,0.0,1.0,0.004933595657348633,"3_act1=tanh,act2=exponential,act3=linear,act4=elu,batch_size=16,bi1=constant,bi2=zeros,bi3=he_normal,bi4=zeros,epochs=6,ki1=lecun_uniform,ki2=lecun_normal,ki3=zeros,ki4=constant,layer3=2,loss=poisson,lr=1.4064,optimizer=sgd,unit3=1024",poisson,16.0,sgd,1.406352286860393,lecun_uniform,lecun_normal,zeros,constant,constant,zeros,he_normal,zeros,tanh,exponential,linear,elu,6.0,1024.0,2.0
0649663c,0.1016250029206276,0.09350000321865082,91.27054333686829,True,,,1.0,cd29e2e8642b4483b25d3ef94953a15f,2022-09-18_01-01-21,1663462881.0,91.27054333686829,29734.0,b430368dd22d,172.17.0.2,91.27054333686829,0.0,1.0,0.004671812057495117,"4_act1=softmax,act2=softmax,act3=selu,act4=linear,batch_size=16,bi1=random_normal,bi2=he_uniform,bi3=random_uniform,bi4=zeros,epochs=6,ki1=glorot_uniform,ki2=glorot_uniform,ki3=lecun_uniform,ki4=zeros,layer3=2,loss=binary_crossentropy,lr=2.5996,optimizer=adagrad,unit3=1024",binary_crossentropy,16.0,adagrad,2.599632553707261,glorot_uniform,glorot_uniform,lecun_uniform,zeros,random_normal,he_uniform,random_uniform,zeros,softmax,softmax,selu,linear,6.0,1024.0,2.0
2f6aad0a,0.1016250029206276,0.09350000321865082,63.714664936065674,True,,,1.0,6865f6b3f1c44a149d68ea61859584b7,2022-09-18_01-02-30,1663462950.0,63.714664936065674,30439.0,b430368dd22d,172.17.0.2,63.714664936065674,0.0,1.0,0.004750490188598633,"5_act1=softsign,act2=hard_sigmoid,act3=sigmoid,act4=selu,batch_size=32,bi1=glorot_uniform,bi2=glorot_uniform,bi3=glorot_normal,bi4=zeros,epochs=8,ki1=random_normal,ki2=orthogonal,ki3=constant,ki4=random_normal,layer3=0,loss=binary_crossentropy,lr=2.3009,optimizer=adamax,unit3=1024",binary_crossentropy,32.0,adamax,2.300882700541977,random_normal,orthogonal,constant,random_normal,glorot_uniform,glorot_uniform,glorot_normal,zeros,softsign,hard_sigmoid,sigmoid,selu,8.0,1024.0,0.0
693e01b2,,,,,,,,0ed642538d3c4c52bb0939debed8bc06,2022-09-18_01-02-35,1663462955.0,,30883.0,b430368dd22d,172.17.0.2,,,,,,categorical_hinge,32.0,sgd,7.639011769906187,orthogonal,he_uniform,glorot_normal,glorot_uniform,glorot_uniform,zeros,orthogonal,zeros,linear,softplus,sigmoid,relu,5.0,1024.0,2.0
925f611c,0.44475001096725464,0.45100000500679016,30.740299224853516,True,,,1.0,9b0a0f8915b94cb4baca8942f511742a,2022-09-18_01-03-14,1663462994.0,30.740299224853516,31074.0,b430368dd22d,172.17.0.2,30.740299224853516,0.0,1.0,0.004651069641113281,"7_act1=linear,act2=softplus,act3=elu,act4=softmax,batch_size=64,bi1=glorot_uniform,bi2=random_normal,bi3=zeros,bi4=zeros,epochs=6,ki1=truncated_normal,ki2=he_uniform,ki3=he_normal,ki4=ones,layer3=0,loss=categorical_crossentropy,lr=1.6283,optimizer=adadelta,unit3=1024",categorical_crossentropy,64.0,adadelta,1.6283122155547771,truncated_normal,he_uniform,he_normal,ones,glorot_uniform,random_normal,zeros,zeros,linear,softplus,elu,softmax,6.0,1024.0,0.0
9723e3b2,0.1016250029206276,0.09350000321865082,31.453947067260742,True,,,1.0,9bce03d904204cd79607fa768860730b,2022-09-18_01-03-54,1663463034.0,31.453947067260742,31350.0,b430368dd22d,172.17.0.2,31.453947067260742,0.0,1.0,0.0052738189697265625,"8_act1=softmax,act2=linear,act3=elu,act4=selu,batch_size=256,bi1=random_uniform,bi2=he_normal,bi3=he_normal,bi4=zeros,epochs=2,ki1=lecun_uniform,ki2=lecun_normal,ki3=random_uniform,ki4=lecun_normal,layer3=2,loss=mean_squared_error,lr=7.3947,optimizer=nadam,unit3=1024",mean_squared_error,256.0,nadam,7.394748279756757,lecun_uniform,lecun_normal,random_uniform,lecun_normal,random_uniform,he_normal,he_normal,zeros,softmax,linear,elu,selu,2.0,1024.0,2.0
ac9a7d78,,,,,,,,84aa7c6709b94d858765e049e6ee0ce0,2022-09-18_01-04-02,1663463042.0,,31848.0,b430368dd22d,172.17.0.2,,,,,,binary_crossentropy,512.0,adadelta,3.247398842234897,glorot_normal,ones,random_uniform,ones,glorot_normal,orthogonal,constant,zeros,linear,sigmoid,relu,linear,8.0,1024.0,0.0
c4728864,0.1016250029206276,0.09350000321865082,27.31522274017334,True,,,1.0,7aa8e18e0e48451085ebeea2908a08a4,2022-09-18_01-04-41,1663463081.0,27.31522274017334,32234.0,b430368dd22d,172.17.0.2,27.31522274017334,0.0,1.0,0.005985260009765625,"10_act1=selu,act2=elu,act3=hard_sigmoid,act4=elu,batch_size=64,bi1=truncated_normal,bi2=he_uniform,bi3=random_normal,bi4=zeros,epochs=4,ki1=lecun_uniform,ki2=lecun_normal,ki3=ones,ki4=zeros,layer3=0,loss=logcosh,lr=0.4469,optimizer=adam,unit3=1024",logcosh,64.0,adam,0.4468820226962714,lecun_uniform,lecun_normal,ones,zeros,truncated_normal,he_uniform,random_normal,zeros,selu,elu,hard_sigmoid,elu,4.0,1024.0,0.0
cb9a95fa,0.1016250029206276,0.09350000321865082,22.324623346328735,True,,,1.0,32b6224ce0e542ccab2496e5f2f1d15f,2022-09-18_01-05-12,1663463112.0,22.324623346328735,32700.0,b430368dd22d,172.17.0.2,22.324623346328735,0.0,1.0,0.005537986755371094,"11_act1=elu,act2=softsign,act3=softplus,act4=selu,batch_size=256,bi1=random_normal,bi2=random_normal,bi3=ones,bi4=zeros,epochs=3,ki1=zeros,ki2=he_normal,ki3=ones,ki4=constant,layer3=1,loss=kullback_leibler_divergence,lr=3.9746,optimizer=adagrad,unit3=1024",kullback_leibler_divergence,256.0,adagrad,3.974570592691247,zeros,he_normal,ones,constant,random_normal,random_normal,ones,zeros,elu,softsign,softplus,selu,3.0,1024.0,1.0
