trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.ki3,config.bi1,config.bi2,config.bi3,config.act1,config.act2,config.act3,config.epochs,config.unit1,config.unit2,config.layer2
26d0a2e4,0.19512194395065308,0.1818181872367859,16.867905378341675,True,,,1.0,ea482affbab14fc6a3b5a96d9e8df3d4,2022-09-08_13-08-40,1662642520.0,16.867905378341675,33664.0,83e87206dee1,172.17.0.3,16.867905378341675,0.0,1.0,0.009877681732177734,"17_act1=softmax,act2=selu,act3=softplus,batch_size=128,bi1=random_uniform,bi2=random_uniform,bi3=glorot_normal,epochs=1676,ki1=glorot_normal,ki2=constant,ki3=he_normal,layer2=2,loss=poisson,lr=0.6250,optimizer=adagrad,unit1=16,unit2=16",poisson,128.0,adagrad,0.6250009536743164,glorot_normal,constant,he_normal,random_uniform,random_uniform,glorot_normal,softmax,selu,softplus,1676.0,16.0,16.0,2.0
4ec15230,,,,,,,,9f16c7640b6d4e44b5b85fe571b7320d,2022-09-08_13-08-45,1662642525.0,,34451.0,83e87206dee1,172.17.0.3,,,,,,categorical_hinge,128.0,adam,0.9375008940696716,random_normal,he_uniform,orthogonal,he_normal,orthogonal,constant,softmax,softsign,sigmoid,878.0,8.0,4.0,2.0
5bde6a34,0.5609756112098694,0.3636363744735718,20.86341619491577,True,,,1.0,d65a4b892fdc4e70ac1f02c6c0f95a2d,2022-09-08_13-09-15,1662642555.0,20.86341619491577,34921.0,83e87206dee1,172.17.0.3,20.86341619491577,0.0,1.0,0.0057680606842041016,"19_act1=tanh,act2=exponential,act3=selu,batch_size=50,bi1=random_uniform,bi2=he_uniform,bi3=glorot_normal,epochs=772,ki1=glorot_uniform,ki2=orthogonal,ki3=zeros,layer2=1,loss=mse,lr=5.9375,optimizer=rmsprop,unit1=16,unit2=8",mse,50.0,rmsprop,5.937500476837158,glorot_uniform,orthogonal,zeros,random_uniform,he_uniform,glorot_normal,tanh,exponential,selu,772.0,16.0,8.0,1.0
613bd408,0.0,0.0,28.71079683303833,True,,,1.0,27b96501ac034e4698acf6f25b7217b9,2022-09-08_13-09-49,1662642589.0,28.71079683303833,35905.0,83e87206dee1,172.17.0.3,28.71079683303833,0.0,1.0,0.005656003952026367,"20_act1=hard_sigmoid,act2=sigmoid,act3=exponential,batch_size=32,bi1=ones,bi2=glorot_uniform,bi3=lecun_normal,epochs=1137,ki1=orthogonal,ki2=random_normal,ki3=glorot_uniform,layer2=0,loss=mean_squared_logarithmic_error,lr=8.4375,optimizer=adamax,unit1=8,unit2=8",mean_squared_logarithmic_error,32.0,adamax,8.4375,orthogonal,random_normal,glorot_uniform,ones,glorot_uniform,lecun_normal,hard_sigmoid,sigmoid,exponential,1137.0,8.0,8.0,0.0
70bbb20e,,,,,,,,17d691355b89409797b8b669bafd4555,2022-09-08_13-09-54,1662642594.0,,37064.0,83e87206dee1,172.17.0.3,,,,,,sparse_categorical_crossentropy,256.0,adagrad,3.4375007152557373,zeros,glorot_uniform,random_normal,lecun_uniform,random_normal,truncated_normal,softplus,selu,softsign,1000.0,4.0,16.0,1.0
850050ee,,,,,,,,51b2fa1657684489b46dd452d8957bf0,2022-09-08_13-10-09,1662642609.0,,37746.0,83e87206dee1,172.17.0.3,,,,,,mean_absolute_error,512.0,adagrad,4.687500476837158,constant,he_normal,lecun_normal,random_normal,lecun_uniform,orthogonal,linear,elu,hard_sigmoid,1473.0,4.0,16.0,1.0
8cc0a414,0.0731707289814949,0.0,30.421534538269043,True,,,1.0,21c2af2b59694c649c1c665c59e14b5c,2022-09-08_13-10-53,1662642653.0,30.421534538269043,38220.0,83e87206dee1,172.17.0.3,30.421534538269043,0.0,1.0,0.006085395812988281,"23_act1=relu,act2=relu,act3=softplus,batch_size=64,bi1=glorot_uniform,bi2=ones,bi3=zeros,epochs=1676,ki1=glorot_normal,ki2=random_uniform,ki3=truncated_normal,layer2=0,loss=categorical_crossentropy,lr=9.6875,optimizer=adamax,unit1=8,unit2=8",categorical_crossentropy,64.0,adamax,9.6875,glorot_normal,random_uniform,truncated_normal,glorot_uniform,ones,zeros,relu,relu,softplus,1676.0,8.0,8.0,0.0
947ff4fc,0.4146341383457184,0.5454545617103577,7.221002817153931,True,,,1.0,e66a4f9eda234405a100d5ab25a49f28,2022-09-08_13-11-05,1662642665.0,7.221002817153931,39327.0,83e87206dee1,172.17.0.3,7.221002817153931,0.0,1.0,0.005217075347900391,"24_act1=selu,act2=hard_sigmoid,act3=relu,batch_size=256,bi1=he_uniform,bi2=random_uniform,bi3=random_normal,epochs=678,ki1=lecun_normal,ki2=ones,ki3=glorot_normal,layer2=1,loss=squared_hinge,lr=7.1875,optimizer=sgd,unit1=16,unit2=8",squared_hinge,256.0,sgd,7.187500476837158,lecun_normal,ones,glorot_normal,he_uniform,random_uniform,random_normal,selu,hard_sigmoid,relu,678.0,16.0,8.0,1.0
ab2787c4,,,,,,,,26e4e6a6e8044fa99eb363c97c4ebfe7,2022-09-08_13-11-10,1662642670.0,,39803.0,83e87206dee1,172.17.0.3,,,,,,kullback_leibler_divergence,32.0,adadelta,2.1875007152557373,truncated_normal,lecun_uniform,constant,orthogonal,he_normal,glorot_uniform,sigmoid,softplus,elu,1294.0,8.0,4.0,2.0
b24ee40c,0.5121951103210449,0.6363636255264282,12.314841508865356,True,,,1.0,5a4af5ff63b3406690d1065d13ec64ae,2022-09-08_13-11-52,1662642712.0,12.314841508865356,883.0,83e87206dee1,172.17.0.3,12.314841508865356,0.0,1.0,0.004782915115356445,"26_act1=tanh,act2=exponential,act3=hard_sigmoid,batch_size=128,bi1=random_normal,bi2=glorot_normal,bi3=random_normal,epochs=772,ki1=constant,ki2=glorot_normal,ki3=glorot_normal,layer2=1,loss=kullback_leibler_divergence,lr=9.0427,optimizer=rmsprop,unit1=4,unit2=8",kullback_leibler_divergence,128.0,rmsprop,9.042739555567438,constant,glorot_normal,glorot_normal,random_normal,glorot_normal,random_normal,tanh,exponential,hard_sigmoid,772.0,4.0,8.0,1.0
