,iter,ID,RC,PR,F3
187,8,D9,0.33,0.25,0.319767442
188,8,M1,1.0,0.25,0.77
189,8,M2,1.0,0.33,0.83
190,8,M3,1.0,0.25,0.77
191,8,R1,1.0,0.2,0.71
192,8,R2,1.0,0.5128571428571428,0.89
193,8,R3,1.0,0.2,0.71
194,8,R4,1.0,0.5285714285714286,0.8942857142857144
195,8,R5,1.0,0.4000000000000001,0.8300000000000001
196,8,R6,1.0,0.25,0.77
197,8,R7,1.0,0.5,0.91
198,9,C1,1.0,0.5,0.91
199,9,C2,1.0,1.0,1.0
200,9,C3,1.0,0.5,0.8899999999999999
201,9,D1,1.0,0.6666666666000001,0.9306666666
202,9,D2,0.67,0.4,0.62763466
203,9,D3,1.0,0.484375,0.9012500000000001
204,9,D4,1.0,0.30918367350000003,0.8030252100714285
205,9,D5,1.0,0.5,0.9095454545000001
206,9,D6,0.5,1.0,0.53
207,9,D7,1.0,0.31999999999999995,0.806
208,9,D8,1.0,0.12,0.58
209,9,D9,0.33,0.333333333,0.33033033
210,9,M1,1.0,0.33,0.83
211,9,M2,1.0,0.33,0.83
212,9,M3,1.0,0.25,0.77
213,9,R1,1.0,0.25,0.77
214,9,R2,1.0,0.5057142857142857,0.8814285714285716
215,9,R3,1.0,0.2,0.71
216,9,R4,1.0,0.5285714285714286,0.8942857142857144
217,9,R5,1.0,0.4000000000000001,0.8300000000000001
218,9,R6,1.0,0.25,0.77
219,9,R7,1.0,0.5,0.91
