ID,RC,PR,F3
C1,0.0,0.2531057091414573,0.05291502622129179
C2,0.0,0.35115049005613913,0.12135347818116571
C3,0.0,0.2886930960444044,0.07947046970765653
D1,0.0,0.0996289412183844,0.020046496322638073
D2,0.1594051442080838,0.13944333775567924,0.15308750153939163
D3,0.1264911064067352,0.09304539843690661,0.09360757245498924
D4,0.0,0.01652128735772987,0.008925462265406782
D5,0.0,0.036387828696175614,0.011631734761332637
D6,0.2581988897471611,0.12909944487358058,0.21946905628508692
D7,0.49721446300587663,0.3143875586549777,0.44998194103952344
D8,0.2581988897471611,0.16339794640352395,0.0878238634975543
D9,0.14335658726096653,0.12699032737783952,0.14024962947820602
M1,0.0,0.04131182235954578,0.030983866769659314
M2,0.0,0.02529822128134705,0.018973665961010223
M3,0.0,0.04541169697580374,0.04366539438350082
R1,0.0,0.057965506984757754,0.055617742972304554
R2,0.0,0.002258769757263128,0.0027105237087157084
R3,0.0,0.02581988897471611,0.03098386676965937
R4,0.0,0.05133448837591544,0.022108331227792346
R5,0.0,0.07157164242910732,0.018345955251064822
R6,0.0,0.03128720008068618,0.028284271247461894
R7,0.0,0.0,0.0
